-1,2024-04-14 06:56:19.764633,2024-04-14 06:56:45.775049,177,181,148,227,199
65,2024-04-14 06:56:00.573156,2024-04-14 06:56:37.940048,121,324,189,435,376
67,2024-04-14 06:59:44.076452,2024-04-14 06:59:51.792898,68,435,94,522,155
-1,2024-04-14 07:00:58.342521,2024-04-14 07:01:59.418953,163,226,79,291,112
39,2024-04-14 06:56:00.578705,2024-04-14 06:57:28.105377,1074,486,120,586,312
67,2024-04-14 06:56:00.584324,2024-04-14 06:57:27.526272,1033,207,220,255,282
-1,2024-04-14 06:56:00.588985,2024-04-14 06:57:28.111153,360,464,280,538,361
-1,2024-04-14 06:56:08.717227,2024-04-14 06:56:10.927873,31,251,129,366,206
-1,2024-04-14 07:00:17.409241,2024-04-14 07:01:03.927861,126,208,227,255,282
-1,2024-04-14 06:56:44.043921,2024-04-14 06:57:27.613869,396,157,205,199,286
-1,2024-04-14 06:57:18.399053,2024-04-14 06:57:27.247966,37,322,193,417,383
76,2024-04-14 06:57:19.023348,2024-04-14 06:57:27.424661,72,243,237,341,332
39,2024-04-14 06:57:29.469863,2024-04-14 06:58:31.091065,762,486,121,587,310
-1,2024-04-14 06:57:30.979323,2024-04-14 06:58:30.530421,203,456,279,540,367
-1,2024-04-14 06:58:01.114534,2024-04-14 06:59:07.227583,780,155,125,225,144
41,2024-04-14 06:58:10.474055,2024-04-14 06:58:13.256336,31,326,26,414,117
-1,2024-04-14 06:58:29.730866,2024-04-14 06:58:35.837372,53,373,117,447,167
76,2024-04-14 06:58:56.483541,2024-04-14 06:59:02.471909,69,416,243,558,337
-1,2024-04-14 06:59:11.272088,2024-04-14 07:00:39.252638,498,155,125,225,144
65,2024-04-14 06:59:16.413267,2024-04-14 06:59:35.995189,175,421,158,548,222
67,2024-04-14 07:00:17.327157,2024-04-14 07:01:04.275971,327,208,221,255,283
76,2024-04-14 07:00:17.493016,2024-04-14 07:02:36.215386,950,416,244,558,337
-1,2024-04-14 07:00:17.503654,2024-04-14 07:02:36.233212,962,442,223,486,299
76,2024-04-14 07:00:17.861113,2024-04-14 07:01:43.578041,363,240,239,341,335
73,2024-04-14 07:00:40.399545,2024-04-14 07:00:56.479542,142,139,7,324,158
-1,2024-04-14 07:03:51.320367,2024-04-14 07:04:24.080682,53,113,14,223,126
73,2024-04-14 07:00:57.404038,2024-04-14 07:03:09.323254,1183,140,8,327,166
-1,2024-04-14 07:01:34.528720,2024-04-14 07:01:46.091679,68,258,213,296,255
73,2024-04-14 07:02:21.496453,2024-04-14 07:02:45.667123,205,70,176,240,294
-1,2024-04-14 07:02:23.919853,2024-04-14 07:03:04.836603,367,20,180,103,274
-1,2024-04-14 07:03:17.067977,2024-04-14 07:03:21.821262,32,142,8,212,26
-1,2024-04-14 07:02:32.674075,2024-04-14 07:03:08.259536,85,113,14,223,126
-1,2024-04-14 07:03:09.653695,2024-04-14 07:03:17.887121,44,116,27,145,122
-1,2024-04-14 07:03:09.658979,2024-04-14 07:03:17.892399,44,107,27,147,124
73,2024-04-14 07:03:09.888305,2024-04-14 07:03:42.895781,236,136,68,326,173
-1,2024-04-14 07:03:24.843152,2024-04-14 07:03:48.539784,113,230,79,291,112
-1,2024-04-14 07:03:24.849995,2024-04-14 07:03:48.131127,179,197,51,292,87
73,2024-04-14 07:03:25.656208,2024-04-14 07:03:48.533998,37,194,49,288,140
73,2024-04-14 07:03:49.384058,2024-04-14 07:04:34.327667,398,155,2,323,156
-1,2024-04-14 07:03:53.021550,2024-04-14 07:04:34.334932,262,221,79,291,111
